page	reference_only	svg_only	reference_only_chars	svg_only_chars	note
66	153	0	U+0026:&×1,U+0028:(×3,U+0029:)×4,U+002C:,×2,U+0032:2×1,U+0034:4×1,U+0037:7×2,U+0041:A×10,U+0043:C×10,U+0044:D×8,U+0045:E×13,U+0046:F×4,U+0047:G×1,U+0048:H×4,U+0049:I×9,U+004C:L×1,U+004D:M×5,U+004E:N×7,U+004F:O×3,U+0050:P×2,U+0052:R×9,U+0053:S×9,U+0054:T×8,U+0055:U×1,U+0056:V×3,U+0061:a×3,U+0062:b×2,U+0063:c×2,U+0065:e×4,U+0068:h×3,U+0069:i×2,U+006C:l×3,U+0070:p×2,U+0072:r×2,U+0074:t×4,U+0075:u×2,U+2192:\u2192×3		-
67	0	153		U+0026:&×1,U+0028:(×3,U+0029:)×4,U+002C:,×2,U+0032:2×1,U+0034:4×1,U+0037:7×2,U+0041:A×10,U+0043:C×10,U+0044:D×8,U+0045:E×13,U+0046:F×4,U+0047:G×1,U+0048:H×4,U+0049:I×9,U+004C:L×1,U+004D:M×5,U+004E:N×7,U+004F:O×3,U+0050:P×2,U+0052:R×9,U+0053:S×9,U+0054:T×8,U+0055:U×1,U+0056:V×3,U+0061:a×3,U+0062:b×2,U+0063:c×2,U+0065:e×4,U+0068:h×3,U+0069:i×2,U+006C:l×3,U+0070:p×2,U+0072:r×2,U+0074:t×4,U+0075:u×2,U+2192:\u2192×3	-
68	0	0			-
69	0	0			-
70	0	0			-
71	0	0			-
72	0	29		U+0028:(×1,U+0029:)×2,U+0031:1×1,U+0034:4×1,U+0038:8×1,U+0039:9×1,U+0061:a×1,U+0064:d×1,U+0065:e×2,U+006C:l×1,U+0072:r×1,U+0074:t×1,U+AC04:\uac04×1,U+AE30:\uae30×2,U+C0C1:\uc0c1×1,U+C138:\uc138×1,U+C57C:\uc57c×1,U+C5B4:\uc5b4×1,U+C740:\uc740×1,U+C774:\uc774×2,U+C7A5:\uc7a5×1,U+C99D:\uc99d×1,U+C9C0:\uc9c0×1,U+CE5C:\uce5c×1,U+D568:\ud568×1	-
73	0	0			-
74	172	40	U+0029:)×1,U+002D:-×8,U+002E:.×6,U+002F:/×7,U+0030:0×5,U+0031:1×16,U+0032:2×10,U+0034:4×3,U+0035:5×1,U+0038:8×1,U+0039:9×1,U+003A::×1,U+0043:C×3,U+0046:F×3,U+0050:P×1,U+0052:R×4,U+0053:S×1,U+005B:[×1,U+005D:]×1,U+0061:a×6,U+0063:c×3,U+0064:d×3,U+0065:e×11,U+0066:f×1,U+0067:g×4,U+0068:h×1,U+0069:i×6,U+006C:l×5,U+006D:m×2,U+006E:n×8,U+006F:o×7,U+0070:p×4,U+0071:q×1,U+0072:r×8,U+0073:s×4,U+0074:t×12,U+0075:u×2,U+0076:v×3,U+0077:w×3,U+0079:y×1,U+ADFC:\uadfc×1,U+C77C:\uc77c×1,U+C811:\uc811×1	U+002C:,×3,U+ACE0:\uace0×1,U+AD00:\uad00×2,U+AE30:\uae30×1,U+B300:\ub300×1,U+B3D9:\ub3d9×1,U+B97C:\ub97c×2,U+B9AC:\ub9ac×2,U+BA70:\uba70×1,U+BCF4:\ubcf4×2,U+C2A4:\uc2a4×1,U+C2DC:\uc2dc×1,U+C57C:\uc57c×1,U+C5D0:\uc5d0×1,U+C601:\uc601×1,U+C6B4:\uc6b4×1,U+C704:\uc704×1,U+C720:\uc720×1,U+C744:\uc744×1,U+C790:\uc790×2,U+C815:\uc815×3,U+C9C0:\uc9c0×1,U+D15C:\ud15c×1,U+D558:\ud558×3,U+D55C:\ud55c×2,U+D574:\ud574×1,U+D654:\ud654×1,U+D655:\ud655×1	-
75	40	172	U+002C:,×3,U+ACE0:\uace0×1,U+AD00:\uad00×2,U+AE30:\uae30×1,U+B300:\ub300×1,U+B3D9:\ub3d9×1,U+B97C:\ub97c×2,U+B9AC:\ub9ac×2,U+BA70:\uba70×1,U+BCF4:\ubcf4×2,U+C2A4:\uc2a4×1,U+C2DC:\uc2dc×1,U+C57C:\uc57c×1,U+C5D0:\uc5d0×1,U+C601:\uc601×1,U+C6B4:\uc6b4×1,U+C704:\uc704×1,U+C720:\uc720×1,U+C744:\uc744×1,U+C790:\uc790×2,U+C815:\uc815×3,U+C9C0:\uc9c0×1,U+D15C:\ud15c×1,U+D558:\ud558×3,U+D55C:\ud55c×2,U+D574:\ud574×1,U+D654:\ud654×1,U+D655:\ud655×1	U+0029:)×1,U+002D:-×8,U+002E:.×6,U+002F:/×7,U+0030:0×5,U+0031:1×16,U+0032:2×10,U+0034:4×3,U+0035:5×1,U+0038:8×1,U+0039:9×1,U+003A::×1,U+0043:C×3,U+0046:F×3,U+0050:P×1,U+0052:R×4,U+0053:S×1,U+005B:[×1,U+005D:]×1,U+0061:a×6,U+0063:c×3,U+0064:d×3,U+0065:e×11,U+0066:f×1,U+0067:g×4,U+0068:h×1,U+0069:i×6,U+006C:l×5,U+006D:m×2,U+006E:n×8,U+006F:o×7,U+0070:p×4,U+0071:q×1,U+0072:r×8,U+0073:s×4,U+0074:t×12,U+0075:u×2,U+0076:v×3,U+0077:w×3,U+0079:y×1,U+ADFC:\uadfc×1,U+C77C:\uc77c×1,U+C811:\uc811×1	-
