page	diff%	note
20	25.3	
31	24.87	
27	21.69	
32	21.48	
19	20.73	
13	20.64	
14	20.52	
11	20.05	
24	20.0	
12	19.96	
26	19.33	
35	18.86	
15	18.64	
16	18.61	
25	18.14	
22	18.02	
21	17.99	
29	17.93	
17	17.19	
23	16.02	
18	16.01	
28	14.11	
34	13.58	
30	12.84	
33	11.84	
