page	diff%	note
8	19.27	
1	19.07	
10	18.27	
2	17.79	
7	17.7	
13	17.7	
4	17.26	
11	16.6	
14	15.91	
5	14.55	
12	13.48	
15	13.42	
3	12.76	
9	12.34	
6	12.32	
