page	next_page	direction	sequence_chars	sequence	note
52	53	rhwp_later_than_reference	83	60)http://www.who.int/transplantation/publications/ConsensusStatementShort.pdf?ua=1	candidate only; PDF visual owner review required
53	54	rhwp_later_than_reference	135	62)Lentine,KristaL.,etal."KDIGOclinicalpracticeguidelineontheevaluationandcareoflivingkidneydonors."Transplantation101.8Suppl1(2017):S7	candidate only; PDF visual owner review required
