page	body_footnote_lines	table_footer	table_outside_frame	image_outside_frame	square_wrap_text_overlap	note
42	0	0	0	0	0	-
43	0	0	0	0	0	-
44	0	0	0	0	0	-
45	0	0	0	0	0	-
