page	reference_only	svg_only	reference_only_chars	svg_only_chars	note
90	26	0	U+0029:)×1,U+002E:.×1,U+0031:1×1,U+0032:2×2,U+0034:4×1,U+0037:7×1,U+0045:E×1,U+0055:U×1,U+AC00:\uac00×1,U+AD6D:\uad6d×1,U+ADDC:\uaddc×1,U+AE30:\uae30×2,U+B144:\ub144×1,U+BBF8:\ubbf8×1,U+C0DD:\uc0dd×1,U+C131:\uc131×1,U+C6A9:\uc6a9×1,U+C790:\uc790×1,U+C7A5:\uc7a5×1,U+C815:\uc815×1,U+C874:\uc874×1,U+C99D:\uc99d×1,U+D45C:\ud45c×1,U+D5C8:\ud5c8×1		-
91	11	20	U+0038:8×1,U+AC1C:\uac1c×1,U+ACFC:\uacfc×1,U+B178:\ub178×1,U+B7FD:\ub7fd×1,U+B974:\ub974×1,U+BD84:\ubd84×1,U+C11D:\uc11d×1,U+C6E8:\uc6e8×1,U+C720:\uc720×1,U+C774:\uc774×1	U+002E:.×1,U+0037:7×1,U+0045:E×1,U+0055:U×1,U+AC00:\uac00×1,U+ADDC:\uaddc×1,U+AE30:\uae30×2,U+B144:\ub144×1,U+BBF8:\ubbf8×1,U+C0DD:\uc0dd×1,U+C131:\uc131×1,U+C6A9:\uc6a9×1,U+C790:\uc790×1,U+C7A5:\uc7a5×1,U+C815:\uc815×1,U+C874:\uc874×1,U+C99D:\uc99d×1,U+D45C:\ud45c×1,U+D5C8:\ud5c8×1	-
